[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_projector.weight', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.64762	validation_0-mlogloss:5.21166	validation_1-merror:0.71191	validation_1-mlogloss:5.29934
[652]	validation_0-merror:0.00591	validation_0-mlogloss:0.08151	validation_1-merror:0.43020	validation_1-mlogloss:1.89418
[653]	validation_0-merror:0.00591	validation_0-mlogloss:0.08150	validation_1-merror:0.43020	validation_1-mlogloss:1.89419
[654]	validation_0-merror:0.00591	validation_0-mlogloss:0.08148	validation_1-merror:0.43020	validation_1-mlogloss:1.89415
[655]	validation_0-merror:0.00591	validation_0-mlogloss:0.08146	validation_1-merror:0.43020	validation_1-mlogloss:1.89417
[656]	validation_0-merror:0.00591	validation_0-mlogloss:0.08145	validation_1-merror:0.43020	validation_1-mlogloss:1.89413
[657]	validation_0-merror:0.00591	validation_0-mlogloss:0.08143	validation_1-merror:0.43047	validation_1-mlogloss:1.89410
[658]	validation_0-merror:0.00591	validation_0-mlogloss:0.08142	validation_1-merror:0.43020	validation_1-mlogloss:1.89406
[659]	validation_0-merror:0.00591	validation_0-mlogloss:0.08141	validation_1-merror:0.43020	validation_1-mlogloss:1.89400
[660]	validation_0-merror:0.00591	validation_0-mlogloss:0.08139	validation_1-merror:0.43020	validation_1-mlogloss:1.89398
[661]	validation_0-merror:0.00591	validation_0-mlogloss:0.08137	validation_1-merror:0.43047	validation_1-mlogloss:1.89397
[662]	validation_0-merror:0.00591	validation_0-mlogloss:0.08135	validation_1-merror:0.43075	validation_1-mlogloss:1.89395
[663]	validation_0-merror:0.00591	validation_0-mlogloss:0.08132	validation_1-merror:0.43020	validation_1-mlogloss:1.89391
[664]	validation_0-merror:0.00591	validation_0-mlogloss:0.08130	validation_1-merror:0.43047	validation_1-mlogloss:1.89390
[665]	validation_0-merror:0.00591	validation_0-mlogloss:0.08129	validation_1-merror:0.43047	validation_1-mlogloss:1.89388
[666]	validation_0-merror:0.00591	validation_0-mlogloss:0.08127	validation_1-merror:0.43020	validation_1-mlogloss:1.89388
[667]	validation_0-merror:0.00591	validation_0-mlogloss:0.08125	validation_1-merror:0.43047	validation_1-mlogloss:1.89385
[668]	validation_0-merror:0.00591	validation_0-mlogloss:0.08123	validation_1-merror:0.43047	validation_1-mlogloss:1.89383
[669]	validation_0-merror:0.00591	validation_0-mlogloss:0.08122	validation_1-merror:0.43047	validation_1-mlogloss:1.89381
[670]	validation_0-merror:0.00591	validation_0-mlogloss:0.08122	validation_1-merror:0.43047	validation_1-mlogloss:1.89382
[671]	validation_0-merror:0.00591	validation_0-mlogloss:0.08120	validation_1-merror:0.43047	validation_1-mlogloss:1.89380
[672]	validation_0-merror:0.00591	validation_0-mlogloss:0.08117	validation_1-merror:0.43047	validation_1-mlogloss:1.89376
[673]	validation_0-merror:0.00591	validation_0-mlogloss:0.08116	validation_1-merror:0.43047	validation_1-mlogloss:1.89373
[674]	validation_0-merror:0.00591	validation_0-mlogloss:0.08113	validation_1-merror:0.43047	validation_1-mlogloss:1.89372
[675]	validation_0-merror:0.00591	validation_0-mlogloss:0.08113	validation_1-merror:0.43047	validation_1-mlogloss:1.89370
[676]	validation_0-merror:0.00591	validation_0-mlogloss:0.08112	validation_1-merror:0.43047	validation_1-mlogloss:1.89369
[677]	validation_0-merror:0.00591	validation_0-mlogloss:0.08110	validation_1-merror:0.43047	validation_1-mlogloss:1.89362
[678]	validation_0-merror:0.00591	validation_0-mlogloss:0.08108	validation_1-merror:0.43020	validation_1-mlogloss:1.89358
[679]	validation_0-merror:0.00591	validation_0-mlogloss:0.08107	validation_1-merror:0.43020	validation_1-mlogloss:1.89354
[680]	validation_0-merror:0.00591	validation_0-mlogloss:0.08106	validation_1-merror:0.43047	validation_1-mlogloss:1.89352
[681]	validation_0-merror:0.00591	validation_0-mlogloss:0.08104	validation_1-merror:0.42992	validation_1-mlogloss:1.89351
[682]	validation_0-merror:0.00591	validation_0-mlogloss:0.08103	validation_1-merror:0.43020	validation_1-mlogloss:1.89351
[683]	validation_0-merror:0.00591	validation_0-mlogloss:0.08101	validation_1-merror:0.42992	validation_1-mlogloss:1.89350
[684]	validation_0-merror:0.00591	validation_0-mlogloss:0.08099	validation_1-merror:0.42992	validation_1-mlogloss:1.89349
[685]	validation_0-merror:0.00591	validation_0-mlogloss:0.08097	validation_1-merror:0.43020	validation_1-mlogloss:1.89348
[686]	validation_0-merror:0.00591	validation_0-mlogloss:0.08096	validation_1-merror:0.43020	validation_1-mlogloss:1.89348
[687]	validation_0-merror:0.00591	validation_0-mlogloss:0.08095	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[688]	validation_0-merror:0.00591	validation_0-mlogloss:0.08094	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[689]	validation_0-merror:0.00591	validation_0-mlogloss:0.08093	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[690]	validation_0-merror:0.00591	validation_0-mlogloss:0.08093	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[691]	validation_0-merror:0.00591	validation_0-mlogloss:0.08093	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[692]	validation_0-merror:0.00591	validation_0-mlogloss:0.08093	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[693]	validation_0-merror:0.00591	validation_0-mlogloss:0.08093	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[694]	validation_0-merror:0.00591	validation_0-mlogloss:0.08093	validation_1-merror:0.43020	validation_1-mlogloss:1.89347
[695]	validation_0-merror:0.00591	validation_0-mlogloss:0.08092	validation_1-merror:0.43020	validation_1-mlogloss:1.89348
[696]	validation_0-merror:0.00591	validation_0-mlogloss:0.08092	validation_1-merror:0.43020	validation_1-mlogloss:1.89347

------------------ Evaluation Matrix -----------------


Accuracy: 0.5708
Micro Precision: 0.3659
Micro Recall: 0.2473
Micro F1-score: 0.2765

Cohens Kappa: 0.5608


--------------- Classification Report ---------------

              precision    recall  f1-score   support

         110       0.73      0.84      0.78       218
        1110       0.00      0.00      0.00         1
        1120       0.33      0.12      0.18        16
        1140       0.00      0.00      0.00         1
        1141       0.60      0.20      0.30        15
        1142       1.00      1.00      1.00         1
        1143       0.00      0.00      0.00         4
        1210       0.55      0.68      0.61       274
        1221       0.00      0.00      0.00         1
        1222       0.00      0.00      0.00        29
        1223       0.00      0.00      0.00        14
        1224       0.42      0.15      0.22        34
        1226       0.00      0.00      0.00         4
        1227       0.71      0.22      0.33        23
        1229       0.40      0.18      0.25        22
        1230       0.00      0.00      0.00         1
        1231       0.00      0.00      0.00         4
        1232       0.00      0.00      0.00         8
        1233       0.00      0.00      0.00        14
        1234       0.00      0.00      0.00         1
        1235       0.00      0.00      0.00         1
        1237       0.00      0.00      0.00         2
        1239       0.00      0.00      0.00         7
        2100       0.00      0.00      0.00         1
        2113       0.00      0.00      0.00         1
        2114       0.00      0.00      0.00         1
        2131       0.00      0.00      0.00         7
        2132       0.62      0.45      0.53        11
        2139       0.00      0.00      0.00         1
        2140       0.00      0.00      0.00         5
        2141       0.80      0.50      0.62         8
        2142       0.60      0.16      0.25        19
        2143       0.00      0.00      0.00         7
        2144       0.29      0.11      0.15        19
        2145       0.40      0.11      0.17        18
        2146       0.00      0.00      0.00         3
        2147       0.00      0.00      0.00         4
        2148       0.50      0.10      0.17        10
        2149       0.00      0.00      0.00        10
        2212       0.00      0.00      0.00         1
        2213       1.00      0.50      0.67         2
        2221       0.75      0.85      0.80        88
        2222       0.00      0.00      0.00         3
        2223       0.86      0.60      0.71        10
        2224       0.71      0.56      0.63         9
        2230       0.81      0.86      0.84        66
        2300       0.70      0.64      0.67        44
        2310       0.61      0.66      0.63        50
        2320       0.75      0.75      0.75        84
        2331       0.77      0.87      0.81       116
        2332       0.77      0.62      0.69        39
        2351       1.00      0.20      0.33         5
        2411       0.40      0.24      0.30        51
        2419       0.00      0.00      0.00         5
        2421       0.80      0.57      0.67         7
        2422       1.00      0.33      0.50         3
        2429       0.00      0.00      0.00         1
        2432       0.00      0.00      0.00         2
        2441       0.00      0.00      0.00         1
        2442       0.00      0.00      0.00         1
        2444       0.80      0.57      0.67         7
        2446       0.00      0.00      0.00         1
        2450       0.00      0.00      0.00         1
        2451       0.57      0.53      0.55        15
        2452       1.00      0.20      0.33         5
        2454       0.00      0.00      0.00         1
        2455       0.60      0.50      0.55         6
        2460       1.00      0.75      0.86         4
        3000       0.00      0.00      0.00         2
        3100       0.00      0.00      0.00         6
        3110       0.00      0.00      0.00         4
        3111       0.00      0.00      0.00        14
        3112       0.44      0.31      0.36        52
        3113       1.00      0.11      0.20         9
        3114       0.33      0.08      0.12        13
        3115       0.19      0.18      0.19        22
        3116       0.32      0.29      0.30        24
        3117       0.33      0.28      0.30        18
        3118       0.67      0.18      0.29        11
        3119       0.00      0.00      0.00        13
        3121       0.46      0.29      0.35        21
        3122       0.50      0.25      0.33         4
        3131       0.86      0.40      0.55        15
        3132       0.83      0.38      0.53        13
        3133       0.00      0.00      0.00         3
        3141       0.25      0.11      0.15         9
        3142       0.67      0.20      0.31        10
        3143       0.00      0.00      0.00         2
        3152       0.57      0.70      0.63       136
        3211       0.00      0.00      0.00         8
        3212       0.60      0.30      0.40        10
        3213       0.00      0.00      0.00         3
        3222       0.33      0.14      0.20         7
        3225       1.00      0.50      0.67         2
        3226       0.00      0.00      0.00         1
        3228       0.00      0.00      0.00         9
        3229       0.00      0.00      0.00         2
        3241       0.60      0.43      0.50         7
        3340       0.63      0.44      0.52        39
        3410       0.00      0.00      0.00         5
        3411       0.67      0.17      0.27        12
        3412       0.90      0.72      0.80        25
        3413       1.00      0.56      0.72        16
        3414       0.00      0.00      0.00         1
        3415       0.41      0.36      0.38       165
        3416       0.67      0.36      0.47        78
        3417       0.00      0.00      0.00         1
        3422       0.00      0.00      0.00         1
        3429       0.00      0.00      0.00         6
        3431       0.00      0.00      0.00         3
        3432       0.00      0.00      0.00         2
        3433       0.58      0.72      0.64       196
        3434       0.67      0.44      0.53        32
        3439       0.40      0.79      0.53       534
        3441       0.00      0.00      0.00         2
        3442       1.00      0.33      0.50         6
        3443       0.00      0.00      0.00         4
        3449       0.00      0.00      0.00         3
        3460       0.75      0.27      0.40        11
        3471       0.61      0.60      0.60        42
        3472       0.00      0.00      0.00         2
        3473       0.50      0.17      0.25         6
        3474       0.00      0.00      0.00         1
        3475       0.00      0.00      0.00         4
        3480       0.00      0.00      0.00         3
        4100       0.42      0.58      0.49       246
        4111       0.41      0.56      0.47       167
        4112       0.00      0.00      0.00         9
        4113       0.00      0.00      0.00        12
        4115       0.58      0.43      0.49        51
        4121       0.50      0.15      0.23        46
        4122       0.00      0.00      0.00        14
        4130       0.00      0.00      0.00         1
        4131       0.62      0.63      0.62       143
        4132       0.50      0.12      0.19        17
        4133       0.17      0.12      0.14         8
        4141       0.71      0.33      0.45        15
        4142       0.56      0.26      0.36        19
        4143       1.00      0.33      0.50         3
        4190       0.50      0.06      0.10        35
        4211       0.72      0.68      0.70       101
        4212       0.65      0.45      0.53        29
        4214       0.00      0.00      0.00         1
        4215       0.00      0.00      0.00         3
        4221       0.00      0.00      0.00         5
        4222       0.54      0.26      0.35        58
        4223       0.61      0.42      0.50        26
        5111       1.00      0.33      0.50         6
        5112       0.00      0.00      0.00         9
        5113       0.75      0.55      0.63        11
        5120       0.00      0.00      0.00         2
        5121       0.50      0.10      0.17        20
        5122       0.74      0.80      0.77       224
        5123       0.73      0.81      0.77       186
        5131       0.65      0.58      0.61        19
        5132       0.38      0.23      0.29        13
        5141       0.89      0.86      0.87        56
        5143       0.00      0.00      0.00         1
        5149       1.00      0.20      0.33         5
        5152       0.00      0.00      0.00         1
        5161       1.00      0.78      0.88         9
        5162       0.84      0.71      0.77        52
        5163       1.00      0.64      0.78        11
        5169       0.79      0.73      0.76       141
        5210       0.00      0.00      0.00         1
        5220       0.61      0.83      0.70       572
        5230       0.56      0.41      0.47        71
        6000       0.73      0.56      0.63        79
        6110       0.79      0.89      0.84       781
        6111       0.69      0.68      0.68       227
        6112       0.61      0.60      0.61        81
        6113       0.00      0.00      0.00         2
        6114       0.75      0.49      0.59        43
        6120       0.00      0.00      0.00         5
        6121       0.79      0.68      0.73        22
        6122       0.83      0.62      0.71        16
        6123       1.00      0.33      0.50         3
        6124       0.00      0.00      0.00         1
        6129       0.00      0.00      0.00         1
        6130       0.88      0.81      0.84        96
        6141       0.50      0.13      0.21        15
        6142       0.00      0.00      0.00         1
        6150       0.00      0.00      0.00         2
        6151       0.69      0.60      0.64        15
        6152       0.00      0.00      0.00         3
        6153       0.94      0.74      0.83        23
        7000       0.00      0.00      0.00         2
        7100       0.00      0.00      0.00         8
        7111       0.50      0.56      0.53        18
        7112       0.00      0.00      0.00         3
        7113       1.00      0.27      0.43        11
        7120       0.75      0.66      0.70        62
        7122       0.57      0.71      0.63        34
        7123       0.52      0.60      0.56        45
        7124       0.52      0.66      0.58        74
        7129       1.00      0.09      0.17        11
        7130       0.19      0.08      0.11        39
        7131       0.50      0.14      0.22         7
        7132       1.00      0.42      0.59        12
        7133       0.47      0.47      0.47        32
        7134       0.00      0.00      0.00         1
        7135       1.00      0.25      0.40         4
        7136       0.50      0.42      0.46        33
        7137       0.54      0.55      0.55        49
        7141       0.73      0.52      0.60        31
        7142       0.50      0.59      0.54        29
        7143       0.00      0.00      0.00         2
        7211       0.00      0.00      0.00        10
        7212       0.68      0.75      0.71        79
        7213       0.00      0.00      0.00         4
        7214       0.00      0.00      0.00         5
        7216       0.00      0.00      0.00         1
        7221       0.80      0.33      0.47        12
        7222       0.63      0.45      0.53        42
        7224       0.00      0.00      0.00         6
        7230       0.00      0.00      0.00         2
        7231       0.78      0.72      0.75        71
        7232       0.33      0.29      0.31         7
        7233       0.52      0.71      0.60       112
        7240       0.00      0.00      0.00         1
        7241       0.37      0.45      0.41        76
        7242       0.20      0.07      0.11        27
        7244       1.00      0.09      0.17        11
        7245       0.45      0.28      0.34        18
        7311       0.42      0.28      0.33        18
        7312       0.00      0.00      0.00         1
        7313       0.75      0.27      0.40        11
        7321       0.00      0.00      0.00         3
        7322       0.00      0.00      0.00         3
        7324       0.00      0.00      0.00         1
        7331       0.00      0.00      0.00         6
        7332       1.00      0.33      0.50         3
        7340       0.00      0.00      0.00         5
        7341       1.00      0.40      0.57         5
        7343       0.00      0.00      0.00         1
        7344       0.00      0.00      0.00         3
        7345       0.00      0.00      0.00         1
        7346       0.00      0.00      0.00         1
        7411       0.58      0.52      0.55        21
        7412       0.41      0.35      0.38        20
        7413       0.50      0.17      0.25         6
        7414       0.50      0.17      0.25         6
        7421       0.00      0.00      0.00         2
        7422       0.54      0.55      0.55        49
        7424       1.00      0.17      0.29        12
        7431       0.00      0.00      0.00         4
        7432       0.00      0.00      0.00         5
        7433       0.56      0.43      0.49        46
        7434       0.00      0.00      0.00         2
        7435       0.33      0.12      0.18         8
        7436       0.50      0.24      0.33        29
        7437       0.00      0.00      0.00         3
        7441       1.00      1.00      1.00         1
        7442       0.69      0.41      0.51        22
        8000       0.00      0.00      0.00         6
        8111       0.36      0.33      0.35        12
        8112       0.00      0.00      0.00         7
        8113       0.43      0.38      0.40         8
        8120       0.00      0.00      0.00         2
        8121       0.33      0.21      0.26        19
        8122       0.32      0.32      0.32        38
        8123       0.00      0.00      0.00         6
        8124       0.50      0.11      0.18         9
        8131       0.52      0.38      0.44        29
        8139       0.00      0.00      0.00         4
        8141       0.67      0.29      0.40         7
        8142       0.00      0.00      0.00         2
        8143       0.50      0.38      0.43        13
        8150       0.67      0.18      0.29        11
        8151       0.00      0.00      0.00         6
        8152       0.33      0.25      0.29         8
        8153       0.00      0.00      0.00         1
        8154       0.67      0.29      0.40         7
        8155       0.00      0.00      0.00         3
        8159       0.09      0.08      0.09        12
        8161       0.60      0.40      0.48        15
        8162       0.76      0.85      0.80        26
        8163       0.29      0.12      0.17        16
        8171       0.00      0.00      0.00         3
        8172       0.00      0.00      0.00         1
        8200       0.00      0.00      0.00         4
        8211       0.32      0.57      0.41       154
        8212       0.29      0.13      0.18        15
        8221       0.21      0.23      0.22        13
        8222       0.00      0.00      0.00         3
        8223       0.35      0.26      0.30        27
        8224       0.00      0.00      0.00         3
        8229       0.00      0.00      0.00         6
        8231       0.75      0.23      0.35        13
        8232       0.47      0.54      0.50        68
        8240       0.00      0.00      0.00        11
        8251       0.44      0.60      0.51        30
        8252       0.50      0.33      0.40         3
        8253       0.80      0.25      0.38        16
        8260       0.45      0.26      0.33        19
        8261       0.44      0.52      0.48        29
        8262       0.46      0.56      0.51        87
        8263       0.55      0.74      0.63       146
        8264       0.21      0.15      0.18        33
        8265       0.00      0.00      0.00         3
        8266       0.66      0.56      0.60        34
        8269       0.25      0.06      0.09        18
        8270       0.50      0.14      0.22         7
        8271       0.00      0.00      0.00         6
        8272       0.00      0.00      0.00         4
        8273       0.00      0.00      0.00        11
        8274       1.00      0.33      0.50         6
        8275       1.00      0.33      0.50         3
        8276       0.00      0.00      0.00         3
        8278       1.00      0.56      0.71         9
        8279       0.00      0.00      0.00         1
        8280       0.00      0.00      0.00         2
        8281       0.24      0.18      0.21        22
        8282       0.00      0.00      0.00         5
        8283       0.39      0.61      0.47       103
        8284       0.33      0.28      0.31        32
        8285       0.00      0.00      0.00         5
        8286       0.00      0.00      0.00         1
        8290       0.26      0.17      0.20        48
        8311       0.00      0.00      0.00         5
        8312       0.00      0.00      0.00         2
        8320       0.38      0.30      0.34        89
        8322       0.59      0.65      0.62       186
        8323       0.74      0.72      0.73        36
        8324       0.57      0.65      0.60       133
        8330       0.00      0.00      0.00         3
        8331       0.80      0.60      0.69        20
        8332       0.60      0.26      0.36        35
        8333       0.67      0.29      0.40        21
        8334       0.00      0.00      0.00         8
        8340       0.50      0.57      0.53        14
        9100       1.00      1.00      1.00         1
        9111       0.50      0.14      0.22         7
        9112       0.00      0.00      0.00         3
        9113       0.00      0.00      0.00         3
        9130       1.00      0.33      0.50         6
        9131       0.81      0.57      0.67        23
        9132       0.57      0.64      0.60       148
        9133       0.65      0.41      0.50        37
        9142       0.00      0.00      0.00         3
        9151       0.54      0.29      0.38        24
        9152       0.36      0.16      0.22        62
        9153       0.00      0.00      0.00         3
        9161       0.80      0.33      0.47        12
        9162       0.60      0.22      0.32        27
        9211       0.00      0.00      0.00         2
        9213       0.00      0.00      0.00         1
        9311       0.00      0.00      0.00         6
        9312       0.44      0.59      0.50       117
        9321       0.00      0.00      0.00         9
        9322       0.37      0.56      0.45       170
        9331       1.00      0.36      0.53        14
        9332       0.00      0.00      0.00         3
        9333       0.59      0.43      0.50        83

    accuracy                           0.57     10812
   macro avg       0.37      0.25      0.28     10812
weighted avg       0.56      0.57      0.54     10812

---------------------- XGBoost ----------------------
/home/bme001/20225898/miniconda3/envs/job/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1344: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/home/bme001/20225898/miniconda3/envs/job/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1344: UndefinedMetricWarning: Precision and F-score are ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/home/bme001/20225898/miniconda3/envs/job/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1344: UndefinedMetricWarning: Precision and F-score are ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/home/bme001/20225898/miniconda3/envs/job/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1344: UndefinedMetricWarning: Precision and F-score are ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
